Location,2005,2004,2003,2002,2001,2000
Portugal,131921,124509,118975,111664,102001,104378
Continente,125348,118705,112696,105783,95721,98351
Norte,35247,34759,32204,31066,31233,33747
Centro,25302,20672,21224,21309,19763,21599
Lisboa,45845,45771,40695,34650,27559,29339
Alentejo,11778,10327,11031,11231,10158,8012
Algarve,7176,7176,7542,7527,7008,5654
Região Autónoma dos Açores,3061,3226,3835,3254,3231,4769
Região Autónoma da Madeira,3512,2578,2444,2627,3049,1258
