Location,2005,2004,2003,2002,2001,2000
Portugal,255,246,245,245,238,226
Continente,242,232,230,230,222,210
Norte,61,62,60,58,60,58
Centro,73,63,61,65,59,56
Lisboa,54,58,57,53,49,52
Alentejo,39,34,37,38,38,29
Algarve,15,15,15,16,16,15
Região Autónoma dos Açores,8,9,11,10,9,11
Região Autónoma da Madeira,5,5,4,5,7,5
