Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Portugal,420,455,490,533,594,624,479,546,572,577,564,558,551,544,545,547,557,571,587,583,565,547,569,566
Continente,400,427,464,506,567,594,462,526,551,559,545,540,534,527,527,527,536,549,565,560,541,524,544,539
Norte,133,140,138,146,175,170,140,150,152,163,159,152,155,152,152,153,167,168,174,174,169,173,176,169
Centro,78,85,87,87,86,115,89,106,122,119,124,122,115,117,119,116,115,115,118,113,112,102,115,116
Lisboa,136,127,158,195,225,223,176,198,203,202,194,201,198,192,185,191,185,187,191,193,186,176,181,182
Alentejo,31,43,42,41,43,48,27,36,40,35,32,29,30,28,33,33,34,38,42,40,33,34,34,37
Algarve,22,32,39,37,38,38,30,36,34,40,36,36,36,38,38,34,35,41,40,40,41,39,38,35
Região Autónoma dos Açores,14,13,13,15,14,13,4,7,8,5,6,5,4,4,5,7,8,9,9,9,10,9,11,13
Região Autónoma da Madeira,6,15,13,12,13,17,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14
