Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Portugal,226,238,245,245,246,255,140,176,182,174,167,165,160,158,168,165,167,173,186,185,174,176,190,200
Continente,210,222,230,230,232,242,137,170,176,170,163,161,157,155,164,159,161,165,178,176,164,167,179,187
Norte,58,60,58,60,62,61,32,40,42,46,42,42,44,43,44,44,48,49,53,51,46,52,55,52
Centro,56,59,65,61,63,73,43,52,54,52,53,51,44,46,50,45,45,45,47,48,47,44,51,54
Lisboa,52,49,53,57,58,54,33,37,37,33,34,37,38,35,35,35,31,32,37,37,35,33,36,43
Alentejo,29,38,38,37,34,39,21,29,33,29,26,23,23,22,26,26,27,27,30,29,24,25,25,27
Algarve,15,16,16,15,15,15,8,12,10,10,8,8,8,9,9,9,10,12,11,11,12,13,12,11
Região Autónoma dos Açores,11,9,10,11,9,8,1,4,4,2,2,2,1,1,2,4,4,6,6,6,7,6,8,9
Região Autónoma da Madeira,5,7,5,4,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4
