Location,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Portugal,112555,111907,105239,109503,112156,113001,108435,104729,104462,105058,105364,107822,108732,109349,110914,113792,109820,91467,131921,124509,118975,111664,102001,104378
Continente,106168,106290,100330,104213,107611,108640,104074,100632,100447,100573,102126,104584,105194,105511,107376,109350,105678,88229,125348,118705,112696,105783,95721,98351
Norte,34573,35429,34879,33217,34643,34797,32958,32565,30082,29725,30003,30711,29266,30385,31011,29487,29105,26136,35247,34759,32204,31066,31233,33747
Centro,23993,23433,19455,22846,23172,23160,21997,21841,22768,23624,23640,23406,25203,25313,23494,24393,21804,17512,25302,20672,21224,21309,19763,21599
Lisboa,33135,33784,32106,34213,34509,35125,33864,33330,34637,33830,36001,38448,38812,37289,38520,39798,39734,33125,45845,45771,40695,34650,27559,29339
Alentejo,8119,7099,7005,6993,8685,8956,7864,7306,7680,7611,6569,6461,6355,6914,7999,9718,8809,6428,11778,10327,11031,11231,10158,8012
Algarve,6348,6545,6885,6944,6602,6602,7391,5590,5280,5783,5913,5558,5558,5610,6352,5954,6226,5028,7176,7176,7542,7527,7008,5654
Região Autónoma dos Açores,3338,2786,2078,2459,1714,1714,1714,1465,1383,1853,562,562,862,1162,862,1766,1466,562,3061,3226,3835,3254,3231,4769
Região Autónoma da Madeira,3049,2831,2831,2831,2831,2647,2647,2632,2632,2632,2676,2676,2676,2676,2676,2676,2676,2676,3512,2578,2444,2627,3049,1258
